raw_issuer_name,sources,docs_in_snapshot,canonical_issuer_id,needs_review,notes,proposed_by,proposed_date,status
Republic of Austria,nsm,2,aut,false,,fable-architect-session,2026-07-19,approved
AZOR MORTGAGES PUBLIC LIMITED COMPANY,luxse,6,azor-mortgages-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,luxse,31,bank-of-cyprus-holdings-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
BANK OF CYPRUS PUBLIC COMPANY LIMITED,luxse,171,bank-of-cyprus-public-company-limited,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
BULGARIA (REPUBLIC OF),luxse,31,bgr,false,,fable-architect-session,2026-07-19,approved
Bahrain,pdip,8,bhr,false,,fable-architect-session,2026-07-19,approved
Kingdom of Bahrain-Ministry of Fin.,nsm,6,bhr,false,,fable-architect-session,2026-07-19,approved
Bosnia and Herzegovina,pdip,1,bih,false,,fable-architect-session,2026-07-19,approved
Bosnia and Herzegovina (Fedtn of.) ,nsm,1,bih-federation,false,"Raw name carries a trailing space; Federation, not the state",fable-architect-session,2026-07-19,approved
Federalno Ministarstvo Finansija,nsm,1,bih-federation,false,Federation finance ministry,fable-architect-session,2026-07-19,approved
MINISTRY OF FINANCE OF REPUBLIC OF SRPSKA,nsm,2,bih-republika-srpska,false,Ministry filings collapse into the entity,fable-architect-session,2026-07-19,approved
Republic of Srpska,nsm,1,bih-republika-srpska,false,Entity of Bosnia and Herzegovina; distinct issuer from the state,fable-architect-session,2026-07-19,approved
Srpska (Republic of),nsm,1,bih-republika-srpska,false,,fable-architect-session,2026-07-19,approved
Belarus (Republic of),nsm,1,blr,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF BELARUS,luxse,4,blr,false,,fable-architect-session,2026-07-19,approved
Republic of  Belarus,nsm,1,blr,false,,fable-architect-session,2026-07-19,approved
GOVERNMENT OF BELIZE,edgar,1,blz,false,,fable-architect-session,2026-07-19,approved
BNP PARIBAS PUBLIC SECTOR SCF,luxse,16,bnp-paribas-public-sector-scf,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
BOLIVIA (PLURINATIONAL STATE OF),luxse,10,bol,false,,fable-architect-session,2026-07-19,approved
Brazil,pdip,2,bra,false,,fable-architect-session,2026-07-19,approved
FEDERATIVE REPUBLIC OF BRAZIL,edgar;luxse,394,bra,false,,fable-architect-session,2026-07-19,approved
Barbados,pdip,5,brb,false,,fable-architect-session,2026-07-19,approved
CANADA,edgar,65,can,false,,fable-architect-session,2026-07-19,approved
Canada,pdip,2,can,false,,fable-architect-session,2026-07-19,approved
Government of Canada,nsm,2,can,false,,fable-architect-session,2026-07-19,approved
CASTANEA ONE PUBLIC LIMITED COMPANY,luxse,1,castanea-one-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
CHILE (REPUBLIC OF),luxse,84,chl,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF CHILE,edgar,186,chl,false,,fable-architect-session,2026-07-19,approved
CHINA (PEOPLE'S REPUBLIC OF),luxse,7,chn,false,,fable-architect-session,2026-07-19,approved
China,pdip,14,chn,false,,fable-architect-session,2026-07-19,approved
China (MoF of People's Republic of),nsm,2,chn,false,,fable-architect-session,2026-07-19,approved
Cameroon,pdip,8,cmr,false,,fable-architect-session,2026-07-19,approved
Republic of Cameroon,nsm,1,cmr,false,,fable-architect-session,2026-07-19,approved
Republic of Cameroon (The),nsm,1,cmr,false,,fable-architect-session,2026-07-19,approved
"MINISTRY OF FINANCE, THE DEMOCRATIC REPUBLIC OF THE CONGO",nsm,2,cod,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF CONGO (THE),luxse,3,cog,false,,fable-architect-session,2026-07-19,approved
THE REPUBLIC OF CONGO,lse,3,cog,false,,fable-architect-session,2026-07-19,approved
COLOMBIA (REPUBLIC OF),luxse,214,col,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF COLOMBIA,edgar,246,col,false,,fable-architect-session,2026-07-19,approved
COSTA RICA (REPUBLIC OF),luxse,6,cri,false,,fable-architect-session,2026-07-19,approved
Cyprus,pdip,8,cyp,false,,fable-architect-session,2026-07-19,approved
Cyprus (Republic of),nsm,1,cyp,false,,fable-architect-session,2026-07-19,approved
Republic Of Cyprus,nsm,22,cyp,false,,fable-architect-session,2026-07-19,approved
CYPRUS POPULAR BANK PUBLIC CO LTD,luxse,47,cyprus-popular-bank-public-co,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
CZECH REPUBLIC,luxse,11,cze,false,,fable-architect-session,2026-07-19,approved
DOMINICAN REPUBLIC (THE),luxse,60,dom,false,,fable-architect-session,2026-07-19,approved
BANCO DE RESERVAS DE LA REPUBLICA DOMINICANA,luxse,1,dom-banreservas,false,State-owned bank,fable-architect-session,2026-07-19,approved
CENTRAL BANK OF THE DOMINICAN REPUBLIC,luxse,1,dom-central-bank,false,,fable-architect-session,2026-07-19,approved
ECUADOR (REPUBLIC OF),luxse,56,ecu,false,,fable-architect-session,2026-07-19,approved
Ecuador,pdip,32,ecu,false,,fable-architect-session,2026-07-19,approved
ARAB REPUBLIC OF EGYPT,nsm,3,egy,false,,fable-architect-session,2026-07-19,approved
Arab Republic Of Egypt (The),nsm,1,egy,false,,fable-architect-session,2026-07-19,approved
Arab Republic of Egypt,nsm,25,egy,false,,fable-architect-session,2026-07-19,approved
Arab Republic of Egypt (The),nsm,1,egy,false,,fable-architect-session,2026-07-19,approved
EGYPT (THE ARAB REPUBLIC OF),luxse,32,egy,false,,fable-architect-session,2026-07-19,approved
Egypt,pdip,4,egy,false,,fable-architect-session,2026-07-19,approved
Egypt (Arab Republic of) (The),nsm,5,egy,false,,fable-architect-session,2026-07-19,approved
THE ARAB REPUBLIC OF EGYPT,nsm,4,egy,false,,fable-architect-session,2026-07-19,approved
ESTONIA (REPUBLIC OF),luxse,1,est,false,,fable-architect-session,2026-07-19,approved
Ethiopia,pdip,4,eth,false,,fable-architect-session,2026-07-19,approved
EUROBANK LIMITED,luxse,11,eurobank-limited,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
FINLAND (REPUBLIC OF),luxse,1,fin,false,,fable-architect-session,2026-07-19,approved
FINLAND REPUBLIC OF,edgar,3,fin,false,,fable-architect-session,2026-07-19,approved
Republic of Finland,nsm,28,fin,false,,fable-architect-session,2026-07-19,approved
Government Of The Republic Of Fiji,nsm,1,fji,false,,fable-architect-session,2026-07-19,approved
FRESENIUS FINANCE IRELAND PUBLIC LIMITED COMPANY,luxse,36,fresenius-finance-ireland-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
Gabonese Republic (The),nsm,1,gab,false,,fable-architect-session,2026-07-19,approved
Ghana,pdip,28,gha,false,,fable-architect-session,2026-07-19,approved
Ghana (Republic of) (The),nsm,2,gha,false,,fable-architect-session,2026-07-19,approved
THE REPUBLIC OF GHANA,nsm,5,gha,false,,fable-architect-session,2026-07-19,approved
The Republic of Ghana,nsm,14,gha,false,,fable-architect-session,2026-07-19,approved
Guinea,pdip,1,gin,false,,fable-architect-session,2026-07-19,approved
GREECE (THE HELLENIC REPUBLIC),luxse,19,grc,false,,fable-architect-session,2026-07-19,approved
GUATEMALA (THE REPUBLIC OF),luxse,12,gtm,false,,fable-architect-session,2026-07-19,approved
Guyana,pdip,1,guy,false,,fable-architect-session,2026-07-19,approved
HELLENIC BANK PUBLIC COMPANY LIMITED,luxse,18,hellenic-bank-public-company-limited,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
The Govt of the Hong Kong Spl Adm Region of the People’s Republic of China,nsm,3,hkg,false,,fable-architect-session,2026-07-19,approved
HONDURAS (THE REPUBLIC OF),luxse,5,hnd,false,,fable-architect-session,2026-07-19,approved
CROATIA (REPUBLIC OF),luxse,25,hrv,false,,fable-architect-session,2026-07-19,approved
HUNGARY,edgar,30,hun,false,,fable-architect-session,2026-07-19,approved
Hungary,nsm;pdip,22,hun,false,,fable-architect-session,2026-07-19,approved
HYPO PUBLIC FINANCE BANK,luxse,27,hypo-public-finance-bank,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
INDONESIA (REPUBLIC OF),luxse,1,idn,false,,fable-architect-session,2026-07-19,approved
Indonesia,pdip,18,idn,false,,fable-architect-session,2026-07-19,approved
Republic of Indonesia,edgar,96,idn,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF IRELAND,luxse,1,irl,false,,fable-architect-session,2026-07-19,approved
Government of The Republic of Iceland,nsm,8,isl,false,,fable-architect-session,2026-07-19,approved
ICELAND (REPUBLIC OF),luxse;nsm,8,isl,false,,fable-architect-session,2026-07-19,approved
Iceland,pdip,2,isl,false,,fable-architect-session,2026-07-19,approved
Republic of Iceland,nsm,12,isl,false,,fable-architect-session,2026-07-19,approved
Central Bank of Iceland,nsm,4,isl-central-bank,true,Distinct entity; REVIEW whether NSM filings are its own or on behalf of the Republic,fable-architect-session,2026-07-19,approved
"ISRAEL, STATE OF",edgar,1162,isr,false,,fable-architect-session,2026-07-19,approved
Israel,pdip,3,isr,false,,fable-architect-session,2026-07-19,approved
STATE OF ISRAEL,nsm,21,isr,false,,fable-architect-session,2026-07-19,approved
State Of Israel,nsm,34,isr,false,,fable-architect-session,2026-07-19,approved
State of Israel,nsm,85,isr,false,,fable-architect-session,2026-07-19,approved
State of Israel Ministry of Finance,nsm,4,isr,false,,fable-architect-session,2026-07-19,approved
ITALY (REPUBLIC OF),luxse,142,ita,false,,fable-architect-session,2026-07-19,approved
ITALY REPUBLIC OF,edgar,43,ita,false,,fable-architect-session,2026-07-19,approved
Italy,pdip,2,ita,false,,fable-architect-session,2026-07-19,approved
GOVERNMENT OF JAMICA,edgar,1,jam,false,,fable-architect-session,2026-07-19,approved
JAMAICA GOVERNMENT OF,edgar,43,jam,false,,fable-architect-session,2026-07-19,approved
Jamaica,pdip,20,jam,false,,fable-architect-session,2026-07-19,approved
Jordan,pdip,4,jor,false,,fable-architect-session,2026-07-19,approved
Jordan (Hashemite Kingdom of) (The),nsm,2,jor,false,,fable-architect-session,2026-07-19,approved
THE HASHEMITE KINGDOM OF JORDAN,nsm,1,jor,false,,fable-architect-session,2026-07-19,approved
The Hashemite Kingdom of Jordan,nsm,3,jor,false,,fable-architect-session,2026-07-19,approved
Japan,pdip,1,jpn,false,,fable-architect-session,2026-07-19,approved
Kazakhstan,pdip,7,kaz,false,,fable-architect-session,2026-07-19,approved
Kazakhstan (Republic of),nsm,5,kaz,false,,fable-architect-session,2026-07-19,approved
Republic of Kazakhstan,nsm,16,kaz,false,,fable-architect-session,2026-07-19,approved
The Republic Of Kazakhstan,nsm,1,kaz,false,,fable-architect-session,2026-07-19,approved
Kazakhstan Temir Zholy Finance BV,nsm,2,kaz-ktz-finance,false,Railway group finance subsidiary,fable-architect-session,2026-07-19,approved
Kenya,pdip,26,ken,false,,fable-architect-session,2026-07-19,approved
Kenya (The Republic of),nsm,3,ken,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF KENYA,nsm,1,ken,false,,fable-architect-session,2026-07-19,approved
THE REPUBLIC OF KENYA,nsm,1,ken,false,,fable-architect-session,2026-07-19,approved
Kyrgyzstan,pdip,2,kgz,false,,fable-architect-session,2026-07-19,approved
KOREA (THE REPUBLIC OF),luxse,2,kor,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF KOREA,edgar,55,kor,false,,fable-architect-session,2026-07-19,approved
Kuwait,pdip,5,kwt,false,,fable-architect-session,2026-07-19,approved
State Of Kuwait,nsm,2,kwt,false,,fable-architect-session,2026-07-19,approved
State of Kuwait (Ministry of Fin.),nsm,2,kwt,false,,fable-architect-session,2026-07-19,approved
LEBANESE REPUBLIC (THE),luxse,218,lbn,false,,fable-architect-session,2026-07-19,approved
Sri Lanka,pdip,1,lka,false,,fable-architect-session,2026-07-19,approved
Sri Lanka (G.D.S. Republic of),nsm,3,lka,false,,fable-architect-session,2026-07-19,approved
LITHUANIA (THE REPUBLIC OF),luxse,111,ltu,false,,fable-architect-session,2026-07-19,approved
LUNAR FUNDING V PUBLIC LIMITED COMPANY,luxse,11,lunar-funding-v-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
LATVIA (REPUBLIC OF),luxse,158,lva,false,,fable-architect-session,2026-07-19,approved
Latvia,pdip,1,lva,false,,fable-architect-session,2026-07-19,approved
KINGDOM OF MOROCCO,nsm,1,mar,false,,fable-architect-session,2026-07-19,approved
Morocco,pdip,2,mar,false,,fable-architect-session,2026-07-19,approved
Morocco (Kingdom of),nsm,2,mar,false,,fable-architect-session,2026-07-19,approved
Moldova,pdip,5,mda,false,,fable-architect-session,2026-07-19,approved
UNITED MEXICAN STATES,edgar,269,mex,false,,fable-architect-session,2026-07-19,approved
MACEDONIA (FORMER YUGOSLAV REPUBLIC OF),luxse,1,mkd,false,,fable-architect-session,2026-07-19,approved
Montenegro,pdip,4,mne,false,,fable-architect-session,2026-07-19,approved
State Of Montenegro,nsm,4,mne,false,,fable-architect-session,2026-07-19,approved
State of Montenegro,nsm,1,mne,false,,fable-architect-session,2026-07-19,approved
"State of Montenegro (represented by the Government of Montenegro, acting by and through its Ministry of Finance and Social Welfare)",nsm,2,mne,false,,fable-architect-session,2026-07-19,approved
MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY,luxse,6,mol-hungarian-oil-and-gas-public-limited-company,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
MORGAN GUARANTY TRUST COMPANY OF NEW YORK,luxse,1,morgan-guaranty-trust-company-of-new-york,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
"BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY, BANK OF CYPRUS PUBLIC COMPANY LIMITED",luxse,4,multi-bank-of-cyprus-holdings-public-limited-company-bank-of-cyprus-public-c,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY, BANK OF CYPRUS PUBLIC COMPANY LIMITED (2 issuers)",luxse,413,multi-bank-of-cyprus-holdings-public-limited-company-bank-of-cyprus-public-c,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"BELGACOM FINANCE S.A., PROXIMUS S.A. DE DROIT PUBLIC",luxse,4,multi-belgacom-finance-proximus-de-droit-public,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"BELGACOM FINANCE S.A., PROXIMUS S.A. DE DROIT PUBLIC (2 issuers)",luxse,7,multi-belgacom-finance-proximus-de-droit-public,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"FRESENIUS FINANCE IRELAND II PUBLIC LIMITED COMPANY, FRESENIUS FINANCE IRELAND PUBLIC LIMITED COMPANY, FRESENIUS SE & CO KGAA (3 issuers)",luxse,43,multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"FRESENIUS FINANCE IRELAND PUBLIC LIMITED COMPANY, FRESENIUS SE & CO KGAA, FRESENIUS FINANCE IRELAND II PUBLIC LIMITED COMPANY (3 issuers)",luxse,17,multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"FRESENIUS FINANCE IRELAND PUBLIC LIMITED COMPANY, FRESENIUS SE & CO. KGAA, FRESENIUS FINANCE IRELAND II PUBLIC LIMITED COMPANY (3 issuers)",luxse,50,multi-fresenius-finance-ireland-ii-public-limited-company-fresenius-finance-,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"HELLENIC RAILWAYS, GREECE (THE HELLENIC REPUBLIC)",luxse,12,multi-greece-the-hellenic-republic-hellenic-railways,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"HELLENIC RAILWAYS, GREECE (THE HELLENIC REPUBLIC), NATIONAL BANK OF GREECE S.A.... (7 issuers)",luxse,1,multi-greece-the-hellenic-republic-hellenic-railways-national-bank-of-greece,true,"LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing; source name truncated, member list incomplete",fable-architect-session,2026-07-19,approved
"GREECE (THE HELLENIC REPUBLIC), NATIONAL BANK OF GREECE S.A., NBG FINANCE PLC... (25 issuers)",luxse,1,multi-greece-the-hellenic-republic-national-bank-of-greece-nbg-finance,true,"LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing; source name truncated, member list incomplete",fable-architect-session,2026-07-19,approved
"UNICREDIT S.P.A., UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY, ING BANK N.V., UNICREDIT INTERNATIONAL BANK (LUXEMBOURG) S.A.",luxse,1,multi-ing-bank-n-v-unicredit-bank-ireland-public-limited-company-unicredit-i,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
Albania; Andorra; Austria; Indonesia,pdip,1,multi-pdip-alb-and-aut-idn,true,PDIP multi-country agreement; REVIEW routing,fable-architect-session,2026-07-19,approved
"SG ISSUER, PORTUGAL (REPUBLIC OF)",luxse,1,multi-portugal-republic-of-sg-issuer,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"SG ISSUER, SOCIETE GENERALE, PORTUGAL (REPUBLIC OF)",luxse,1,multi-portugal-republic-of-sg-issuer-societe-generale,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"UNICREDIT S.P.A., UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY (2 issuers)",luxse,177,multi-unicredit-bank-ireland-public-limited-company-unicredit,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"UNICREDIT S.P.A., UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY, UNICREDIT INTERNATIONAL BANK (LUXEMBOURG) S.A. (3 issuers)",luxse,339,multi-unicredit-bank-ireland-public-limited-company-unicredit-international-,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
"UNICREDIT LUXEMBOURG FINANCE S.A., UNICREDIT BANK IRELAND PUBLIC LIMITED COMPANY",luxse,5,multi-unicredit-bank-ireland-public-limited-company-unicredit-luxembourg-fin,true,LuxSE joint filing by multiple issuers; identity is the order-independent member set; REVIEW member parsing,fable-architect-session,2026-07-19,approved
Nigeria,pdip,11,nga,false,,fable-architect-session,2026-07-19,approved
Nigeria (Federal Republic of) (The),nsm,6,nga,false,,fable-architect-session,2026-07-19,approved
THE FEDERAL REPUBLIC OF NIGERIA,nsm,2,nga,false,,fable-architect-session,2026-07-19,approved
The Federal Republic of Nigeria,nsm,34,nga,false,,fable-architect-session,2026-07-19,approved
Netherlands,pdip,23,nld,false,,fable-architect-session,2026-07-19,approved
Oman (Government of Sultanate of),nsm,4,omn,false,,fable-architect-session,2026-07-19,approved
SULTANATE OF OMAN,nsm,1,omn,false,,fable-architect-session,2026-07-19,approved
The Government of the Sultanate of Oman,nsm,5,omn,false,,fable-architect-session,2026-07-19,approved
Oman Sovereign Sukuk S.A.O.C.,nsm,7,omn-sovereign-sukuk,false,Sukuk issuance vehicle of the Sultanate of Oman,fable-architect-session,2026-07-19,approved
OPUS (PUBLIC) CHARTERED ISSUANCE S.A.,luxse,21,opus-public-chartered-issuance,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
OPUS (PUBLIC) CHARTERED ISSUANCE SA,luxse,123,opus-public-chartered-issuance,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
PAKISTAN (THE ISLAMIC REPUBLIC OF),luxse,5,pak,false,,fable-architect-session,2026-07-19,approved
PANAMA (THE REPUBLIC OF),luxse,104,pan,false,,fable-architect-session,2026-07-19,approved
PANAMA REPUBLIC OF,edgar,126,pan,false,,fable-architect-session,2026-07-19,approved
PERU (THE REPUBLIC OF),luxse,98,per,false,,fable-architect-session,2026-07-19,approved
PERU REPUBLIC OF,edgar,85,per,false,,fable-architect-session,2026-07-19,approved
Peru,pdip,126,per,false,,fable-architect-session,2026-07-19,approved
PHILIPPINES (REPUBLIC OF THE),luxse,226,phl,false,,fable-architect-session,2026-07-19,approved
Philippines,pdip,52,phl,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF THE PHILIPPINES,edgar,176,phl,false,,fable-architect-session,2026-07-19,approved
POLAND (THE REPUBLIC OF),luxse,87,pol,false,,fable-architect-session,2026-07-19,approved
PROXIMUS S.A. DE DROIT PUBLIC,luxse,51,proximus-de-droit-public,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
PORTUGAL (REPUBLIC OF),luxse,18,prt,false,,fable-architect-session,2026-07-19,approved
PARAGUAY (THE REPUBLIC OF),luxse,25,pry,false,,fable-architect-session,2026-07-19,approved
State Of Qatar,nsm,1,qat,false,,fable-architect-session,2026-07-19,approved
State of Qatar-Ministry of Finance,nsm,8,qat,false,,fable-architect-session,2026-07-19,approved
The State of Qatar,nsm,1,qat,false,,fable-architect-session,2026-07-19,approved
Global Sukuk Ventures (Q.P.J.S.C.),nsm,1,qat-global-sukuk-ventures,true,REVIEW: confirm relationship to the State of Qatar,fable-architect-session,2026-07-19,approved
Rwanda,pdip,55,rwa,false,,fable-architect-session,2026-07-19,approved
Rwanda (Republic of) (The),nsm,1,rwa,false,,fable-architect-session,2026-07-19,approved
The Republic of Rwanda,nsm,1,rwa,false,,fable-architect-session,2026-07-19,approved
Kingdom of Saudi Arabia,nsm,8,sau,false,,fable-architect-session,2026-07-19,approved
Kingdom of Saudi Arabia (The),nsm,11,sau,false,,fable-architect-session,2026-07-19,approved
Saudi Arabia,pdip,17,sau,false,,fable-architect-session,2026-07-19,approved
The Kingdom of Saudi Arabia acting through the Ministry of Finance,nsm,4,sau,false,,fable-architect-session,2026-07-19,approved
SECTEUR PUBLIC FRANCE 2012-1,luxse,3,secteur-public-france-2012-1,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
SENEGAL (THE REPUBLIC OF),luxse,4,sen,false,,fable-architect-session,2026-07-19,approved
Senegal,pdip,7,sen,false,,fable-architect-session,2026-07-19,approved
Sierra Leone,pdip,15,sle,false,,fable-architect-session,2026-07-19,approved
EL SALVADOR (THE REPUBLIC OF),luxse,27,slv,false,,fable-architect-session,2026-07-19,approved
SAN MARINO (REPUBLIC OF),luxse,6,smr,false,,fable-architect-session,2026-07-19,approved
Republic Of Serbia,nsm,1,srb,false,,fable-architect-session,2026-07-19,approved
Republic of Serbia,nsm,5,srb,false,,fable-architect-session,2026-07-19,approved
"Republic of Serbia (represented by the Government of the Republic of Serbia, acting by and through the Ministry of Finance)",nsm,7,srb,false,,fable-architect-session,2026-07-19,approved
SERBIA (THE REPUBLIC OF),luxse,4,srb,false,,fable-architect-session,2026-07-19,approved
Serbia,pdip,1,srb,false,,fable-architect-session,2026-07-19,approved
Serbia (Republic of),nsm,13,srb,false,,fable-architect-session,2026-07-19,approved
SURINAME (REPUBLIC OF),luxse,27,sur,true,REVIEW: no canonical display on file,fable-architect-session,2026-07-19,approved
SLOVAK REPUBLIC,luxse,4,svk,false,,fable-architect-session,2026-07-19,approved
SLOVENIA (REPUBLIC OF),luxse,33,svn,false,,fable-architect-session,2026-07-19,approved
Kingdom of Sweden,nsm,64,swe,false,,fable-architect-session,2026-07-19,approved
SWEDEN (KINGDOM OF),nsm,1,swe,false,,fable-architect-session,2026-07-19,approved
Sweden,pdip,8,swe,false,,fable-architect-session,2026-07-19,approved
THE STANDARD BANK OF SOUTH AFRICA LTD,luxse,2,the-standard-bank-of-south-africa,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
REPUBLIC OF TAJIKISTAN,luxse,1,tjk,false,,fable-architect-session,2026-07-19,approved
TT&T PUBLIC COMPANY LIMITED,luxse,3,tt-and-t-public-company-limited,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
TRINIDAD AND TOBAGO (REPUBLIC OF),luxse,8,tto,false,,fable-architect-session,2026-07-19,approved
REPUBLIC OF TURKEY,edgar;luxse,319,tur,false,,fable-architect-session,2026-07-19,approved
TURKEY (REPUBLIC OF),luxse,14,tur,false,,fable-architect-session,2026-07-19,approved
TÜRKIYE (THE REPUBLIC OF),luxse,196,tur,false,,fable-architect-session,2026-07-19,approved
Uganda,pdip,1,uga,false,,fable-architect-session,2026-07-19,approved
"Ukraine, represented by the Minister of Finance",nsm,2,ukr,false,,fable-architect-session,2026-07-19,approved
UNICREDIT BANK GMBH,luxse,7,unicredit-bank,false,Display normalization deferred; raw legal name preserved,fable-architect-session,2026-07-19,approved
"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S.",luxse,106,unicredit-bank-czech-republic-and-slovakia,false,"Single legal bank; the comma is part of the legal name, not a multi-issuer separator",fable-architect-session,2026-07-19,approved
