Filing Date/Time,Publication Date/Time,Document Date,Source,Disclosing Organisation LEI,Disclosing Organisation Name,Description,Category,ESEF Type,Download Link,Related Organisation(s)
18/03/2026 11:42,18/03/2026 11:30,18/03/2026,Regulatory News Services (RNS),549300S9XF92D1X8ME43,ANGLO AMERICAN PLC,Issue of Notes,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/89377591-f53c-44ab-932c-afad59c5d9b1.html,ANGLO AMERICAN CAPITAL PLC (TINT358G1SSHR3L3PW36)
18/03/2026 11:22,18/03/2026 11:21,18/03/2026,Direct Upload,21380041YBGOQDFAC823;213800FKA5MF17RJKT63,B.A.T. INTERNATIONAL FINANCE P.L.C.;BRITISH AMERICAN TOBACCO P.L.C.,BAT EMTN Base Prospectuse,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140973/NI-000140973.pdf,
18/03/2026 09:03,16/03/2026 11:23,16/03/2026,FCA,RR3QWICWWIPCS8A4S074,NATWEST MARKETS PLC,Natwest Markets Plc - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140952/NI-000140952.pdf,
18/03/2026 07:00,18/03/2026 07:00,18/03/2026,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/4c181775-ce76-4293-a62f-24e497e57381.html,
17/03/2026 15:30,17/03/2026 15:19,17/03/2026,Regulatory News Services (RNS),,Silverstone Master Issuer PLC,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/c11a2113-1280-4c58-891d-86b76d7b7848.html,
17/03/2026 14:06,17/03/2026 14:00,13/03/2026,Direct Upload,213800XC35KGM9NFC641,SEGRO PUBLIC LIMITED COMPANY,SEGRO plc - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140904/NI-000140904.pdf,
17/03/2026 13:31,17/03/2026 13:31,17/03/2026,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/b8f93133-d4a7-4929-a6d1-d50336a60ddc.html,
17/03/2026 13:09,17/03/2026 12:57,17/03/2026,Regulatory News Services (RNS),PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/d916ef64-27d0-4895-909d-0aae9fe262a1.html,
17/03/2026 12:36,17/03/2026 12:25,17/03/2026,Regulatory News Services (RNS),,Akademiska Hus AB,Publication of a Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/f0e24fa3-bc5d-4755-9db1-c7fe3dfd4e62.html,
17/03/2026 12:14,17/03/2026 12:14,17/03/2026,GlobeNewswire (GNW),254900UWHMJRRODS3Z64,21Shares AG,21Shares AG (the “Issuer”): Publication of a Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/GNW/67e7ac11-98cf-4009-812f-651011c1f73b.html,
17/03/2026 11:58,16/03/2026 18:00,16/03/2026,Direct Upload,2138005O9XJIJN4JPN90,NATWEST GROUP PLC,NWM Plc Base Prospectus,Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140898/NI-000140898.pdf,NATWEST MARKETS PLC (RR3QWICWWIPCS8A4S074)
17/03/2026 10:30,17/03/2026 10:30,17/03/2026,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/d843b790-3de6-4848-9404-2dd475671c5d.html,
17/03/2026 08:35,13/03/2026 11:51,13/03/2026,FCA,549300HY425AKJLQVX75;213800XC35KGM9NFC641,SEGRO Capital S.a r.l.;SEGRO PUBLIC LIMITED COMPANY,SEGRO Capital S.à r.l.;SEGRO plc - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140876/NI-000140876.pdf,
17/03/2026 08:35,13/03/2026 09:30,13/03/2026,FCA,549300P4PHVCL0EZU771;353800MZ3QX9RLMH7B09,MITSUBISHI HC CAPITAL UK PLC;Mitsubishi HC Capital Inc.,MITSUBISHI HC CAPITAL UK PLC;Mitsubishi HC Capital Inc. - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140875/NI-000140875.pdf,
17/03/2026 08:35,13/03/2026 10:28,13/03/2026,FCA,635400TLFJSNHVSOFH59,LEVERAGE SHARES PUBLIC LIMITED COMPANY,Leverage Shares Public Limited Company - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140874/NI-000140874.pdf,
17/03/2026 08:35,13/03/2026 10:04,13/03/2026,FCA,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Santander UK PLC - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140873/NI-000140873.pdf,
17/03/2026 08:00,17/03/2026 08:00,17/03/2026,GlobeNewswire (GNW),529900HEKOENJHPNN480,Kuntarahoitus Oyj,Municipality Finance issues EUR 50 million notes under its MTN programme,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/GNW/57640912-3c5f-4063-9fd2-11af1a203bb5.html,
17/03/2026 08:00,17/03/2026 08:00,17/03/2026,GlobeNewswire (GNW),529900HEKOENJHPNN480,Kuntarahoitus Oyj,Municipality Finance issues a GBP 50 million tap under its MTN programme,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/GNW/9af10df3-a656-44cc-bec9-6a6c66829d33.html,
16/03/2026 18:06,16/03/2026 17:54,16/03/2026,Regulatory News Services (RNS),RR3QWICWWIPCS8A4S074,NATWEST MARKETS PLC,NWM Plc Registration Document and Base Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/393f7194-5634-4a46-8f87-9f48d5919795.html,
16/03/2026 10:57,16/03/2026 10:46,16/03/2026,Regulatory News Services (RNS),549300F5XIFGNNW4CF72,SANTANDER UK GROUP HOLDINGS PLC,Publication of Offering Memorandum,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/53dd6048-a3f8-4761-88dc-25ddcb93a3cf.html,
16/03/2026 10:15,12/3/26 10:27,12/3/26,FCA,213800YHFC48VOL6JY40;BPF79TJMIH3DK8XCKI50;213800ZVIELEA55JMJ32,DIAGEO CAPITAL B.V.;DIAGEO FINANCE PLC;DIAGEO PLC,Diageo Capital B.V.;Diageo Finance Plc;DIAGEO PLC - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140805/NI-000140805.pdf,
16/03/2026 08:30,16/03/2026 08:18,16/03/2026,Regulatory News Services (RNS),549300KCFVCFTUJZYT59,MFB Magyar Fejlesztesi Bank Zartkoruen Mukodo Reszvenytarsasag,Issue of HUF denominated domestic public bonds,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/da46db52-4ed0-431d-8f02-fbd76b068ffc.html,
13/03/2026 10:33,13/03/2026 10:20,13/03/2026,Regulatory News Services (RNS),549300KCFVCFTUJZYT59,MFB Magyar Fejlesztesi Bank Zartkoruen Mukodo Reszvenytarsasag,Issue of EUR denominated domestic public bonds,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/121dc9c3-382c-4dc8-998c-f231c5fb3c8f.html,
13/03/2026 10:02,11/3/26 9:38,11/3/26,FCA,Z2VZBHUMB7PWWJ63I008;HJZQGXYTVV2NWJZLPW74;724500OPA8GZSQUNSR96;3UKPTDP5PGQRH8AUK042,TOYOTA MOTOR CREDIT CORPORATION;TOYOTA CREDIT CANADA INC.;Toyota Motor Finance (Netherlands) B.V.;TOYOTA FINANCE AUSTRALIA LIMITED,TOYOTA MOTOR CREDIT CORPORATION;TOYOTA CREDIT CANADA INC;TOYOTA MOTOR FINANCE (NETHERLANDS) B.V.;Toyota Finance Australia Limited - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140706/NI-000140706.pdf,
13/03/2026 10:02,11/3/26 9:54,11/3/26,FCA,549300MY0DXTHQEX5O57,QNB FINANCE LTD,QNB Finance Ltd - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140705/NI-000140705.pdf,
13/03/2026 10:02,11/3/26 9:59,11/3/26,FCA,YF0Y5B0IB8SM0ZFG9G81,AVIVA PLC,AVIVA PLC - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140704/NI-000140704.pdf,
13/03/2026 07:13,13/03/2026 07:00,13/03/2026,Regulatory News Services (RNS),213800PLO4T7BYXL5I51,ATOME PLC,ATOME signs definitive debt agreements ,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/298a3636-2335-423d-af96-0f90a3abe9c9.html,
12/3/26 17:48,12/3/26 17:35,12/3/26,Regulatory News Services (RNS),213800ZVIELEA55JMJ32,DIAGEO PLC,Publication of Supplement to Base Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/6573d4a4-90ca-44ee-b1d8-35c98a0e54ac.html,
12/3/26 17:44,12/3/26 17:35,12/3/26,Direct Upload,213800ZVIELEA55JMJ32;BPF79TJMIH3DK8XCKI50;213800YHFC48VOL6JY40,DIAGEO PLC;DIAGEO FINANCE PLC;DIAGEO CAPITAL B.V.,Publication of Supplement to Base Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140658/NI-000140658.pdf,
12/3/26 14:03,12/3/26 13:51,12/3/26,Regulatory News Services (RNS),2138005GAARIE1JMP262,ATERIAN PLC,Issue of Convertible Loan Notes,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/7010248e-f671-4e8d-b352-fce3004691bd.html,
12/3/26 11:13,12/3/26 11:13,12/3/26,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/f2fb781c-6ed0-4c75-b355-7279a0980de1.html,
12/3/26 9:51,12/3/26 9:38,12/3/26,Regulatory News Services (RNS),,Industrial & Commercial Bank China,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/925f45f2-7d12-4bf8-893e-db105dca58b9.html,
12/3/26 9:18,12/3/26 9:17,12/3/26,PR Newswire (PRN),213800DL377MH46PDY63,ANGLIAN WATER SERVICES FINANCING PLC,Anglian Water Services Financing Plc - Publication of a Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/PRN/e0a4ddc3-1466-4b30-8431-0b9045f3f9c5.html,
12/3/26 9:08,10/3/26 11:48,10/3/26,FCA,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Santander UK PLC - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140595/NI-000140595.pdf,
12/3/26 9:07,10/3/26 10:54,10/3/26,FCA,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Santander UK PLC - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140594/NI-000140594.pdf,
12/3/26 9:07,10/3/26 9:48,10/3/26,FCA,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,Santander UK PLC - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140593/NI-000140593.pdf,
12/3/26 9:07,10/3/26 9:12,10/3/26,FCA,549300F5XIFGNNW4CF72;PTCQB104N23FMNK2RZ28,SANTANDER UK GROUP HOLDINGS PLC;SANTANDER UK PLC,Santander UK Group Holdings plc;Santander UK PLC - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140592/NI-000140592.pdf,
12/3/26 9:07,10/3/26 9:51,10/3/26,FCA,MSFSBD3QN1GSN7Q6C537,COMMONWEALTH BANK OF AUSTRALIA,COMMONWEALTH BANK OF AUSTRALIA - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140591/NI-000140591.pdf,
12/3/26 9:07,10/3/26 9:54,10/3/26,FCA,MSFSBD3QN1GSN7Q6C537,COMMONWEALTH BANK OF AUSTRALIA,COMMONWEALTH BANK OF AUSTRALIA - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140590/NI-000140590.pdf,
12/3/26 9:07,10/3/26 10:58,10/3/26,FCA,6SHGI4ZSSLCXXQSBB395;82VOJDD5PTRDMVVMGV31;549300EVRWDWFJUNNP53,CITIGROUP INC.;CITIGROUP GLOBAL MARKETS HOLDINGS INC.;Citigroup Global Markets Funding Luxembourg SCA,Citigroup Inc.;Citigroup Global Markets Holdings Inc.;CITIGROUP GLOBAL MARKETS FUNDING LUXEMBOURG S.C.A. - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140589/NI-000140589.pdf,
12/3/26 9:07,10/3/26 10:31,10/3/26,FCA,2138007H5DQ4X8YOCF14,VIDENDUM PLC,Videndum plc - Single Prospectus and Circular,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140586/NI-000140586.pdf,
11/3/26 18:20,11/3/26 18:20,11/3/26,Modular Finance (MFN),7437009H31TO1DC0EB42,Faron Pharmaceuticals Oy,The Finnish Financial Supervisory Authority has approved Faron's rights offering prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/MFN/a1cd254c-e917-46e1-bba4-dc97f3739fea.html,
11/3/26 16:06,11/3/26 15:54,11/3/26,Regulatory News Services (RNS),549300MY0DXTHQEX5O57,QNB FINANCE LTD,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/a537f727-6751-4630-bac7-47649c6da497.html,
11/3/26 14:27,11/3/26 14:16,11/3/26,Regulatory News Services (RNS),YF0Y5B0IB8SM0ZFG9G81,AVIVA PLC,Publication of updated Euro Note Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/70c406cf-152b-441c-ab9f-f5ce2e3886f8.html,
11/3/26 14:21,11/3/26 14:18,11/3/26,Direct Upload,YF0Y5B0IB8SM0ZFG9G81,AVIVA PLC,Euro Note Programme Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140541/NI-000140541.pdf,
11/3/26 12:08,10/3/26 12:00,10/3/26,Direct Upload,2138007H5DQ4X8YOCF14,VIDENDUM PLC,Publication of a Prospectus,Publication of a Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140524/NI-000140524.pdf,
11/3/26 11:24,11/3/26 11:12,11/3/26,Regulatory News Services (RNS),HJZQGXYTVV2NWJZLPW74,TOYOTA CREDIT CANADA INC.,Publication of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/6b3560b5-33e1-463a-9ff7-5af2996e977c.html,
11/3/26 11:24,11/3/26 11:13,11/3/26,Regulatory News Services (RNS),Z2VZBHUMB7PWWJ63I008,TOYOTA MOTOR CREDIT CORPORATION,Publication of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/3568c1df-f304-4c90-91c0-0775e56021df.html,
11/3/26 11:24,11/3/26 11:12,11/3/26,Regulatory News Services (RNS),724500OPA8GZSQUNSR96,Toyota Motor Finance (Netherlands) B.V.,Publication of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/a5138030-c322-4ab6-bcbf-e9f3682d4bc0.html,
11/3/26 11:24,11/3/26 11:13,11/3/26,Regulatory News Services (RNS),3UKPTDP5PGQRH8AUK042,TOYOTA FINANCE AUSTRALIA LIMITED,Publication of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/6d1f3be4-b7e5-42ca-97f2-7d906f67a787.html,
11/3/26 11:15,11/3/26 11:12,11/3/26,Direct Upload,3UKPTDP5PGQRH8AUK042;Z2VZBHUMB7PWWJ63I008;724500OPA8GZSQUNSR96;HJZQGXYTVV2NWJZLPW74,TOYOTA FINANCE AUSTRALIA LIMITED;TOYOTA MOTOR CREDIT CORPORATION;Toyota Motor Finance (Netherlands) B.V.;TOYOTA CREDIT CANADA INC.,Publication of Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000140518/NI-000140518.pdf,
11/3/26 10:26,11/3/26 10:26,11/3/26,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/024a2572-40dc-4f80-b845-4f952eec01ef.html,
11/3/26 8:49,9/3/26 10:36,9/3/26,FCA,213800VD256NU2D97H12;HZSN7FQBPO5IEWYIGC72,ANZ NEW ZEALAND (INT’L) LIMITED;ANZ BANK NEW ZEALAND LIMITED,ANZ New Zealand (Int'l) Limited;ANZ Bank New Zealand Limited - Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140496/NI-000140496.pdf,
11/3/26 8:48,9/3/26 15:07,9/3/26,FCA,213800DPNY6FV46KEI56,NEWDAY PARTNERSHIP MASTER ISSUER PLC,NewDay Partnership Master Issuer plc - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140495/NI-000140495.pdf,
11/3/26 8:48,9/3/26 10:58,9/3/26,FCA,5493008H3828EMEXB082,ANHEUSER-BUSCH INBEV,Anheuser-Busch INBEV SA/NV - Base prospectus (debt),Base Prospectus,,https://data.fca.org.uk/artefacts/NSM/FCA/NI-000140494/NI-000140494.pdf,
11/3/26 8:00,11/3/26 8:00,11/3/26,GlobeNewswire (GNW),529900HEKOENJHPNN480,Kuntarahoitus Oyj,Municipality Finance issues GBP 50 million notes under its MTN programme,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/GNW/2aee0034-414e-45fa-a8c2-317d91780639.html,
11/3/26 7:12,11/3/26 7:00,11/3/26,Regulatory News Services (RNS),MSFSBD3QN1GSN7Q6C537,COMMONWEALTH BANK OF AUSTRALIA,Publication of a Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/f0231a47-7ae9-40e8-86d6-c287d7391830.html,
11/3/26 7:12,11/3/26 7:00,11/3/26,Regulatory News Services (RNS),MSFSBD3QN1GSN7Q6C537,COMMONWEALTH BANK OF AUSTRALIA,Publication of a Supplementary Prospectus,Publication of a Supplementary Prospectus,,https://data.fca.org.uk/artefacts/NSM/RNS/8073d1ee-198f-43e1-a18a-56a29623c508.html,
10/3/26 16:18,10/3/26 16:18,10/3/26,Business Wire (BWI),ECTRVYYCEF89VWYS6K36,HIS MAJESTY'S TREASURY,Issue of Debt,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/BWI/6c4ff727-7849-403c-ae74-90d38ac17d64.html,
10/3/26 16:12,10/3/26 16:00,10/3/26,Regulatory News Services (RNS),MLU0ZO3ML4LN2LL2TL39,HSBC HOLDINGS PLC,Issuance of senior unsecured notes,Issue of Debt,,https://data.fca.org.uk/artefacts/NSM/RNS/c2bcf7e5-d092-48e6-ac63-5188ed2f282d.html,
